Accession,tax_id,Species,Kingdom,Phylum,Class,Length,Description
NZ_CP025017.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,279539,"Rhizobium leguminosarum strain Norway plasmid pRLN5, complete sequence"
NZ_CP025016.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,354350,"Rhizobium leguminosarum strain Norway plasmid pRLN4, complete sequence"
NZ_CP025015.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,557386,"Rhizobium leguminosarum strain Norway plasmid pRLN3, complete sequence"
NZ_CP025014.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,592529,"Rhizobium leguminosarum strain Norway plasmid pRLN2, complete sequence"
NZ_CP025013.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,1098158,"Rhizobium leguminosarum strain Norway plasmid pRLN1, complete sequence"
NZ_CP016611.1,2371,Xylella fastidiosa,Bacteria,Proteobacteria,Gammaproteobacteria,35270,"Xylella fastidiosa strain Salento-2 plasmid pSal2, complete sequence"
NZ_CP016609.1,2371,Xylella fastidiosa,Bacteria,Proteobacteria,Gammaproteobacteria,35269,"Xylella fastidiosa strain Salento-1 plasmid pSal1, complete sequence"
NZ_CP026519.1,2080419,Deinococcus sp. NW-56,Bacteria,Deinococcus-Thermus,Deinococci,69326,"Deinococcus sp. NW-56 plasmid unnamed3, complete sequence"
NZ_CP026518.1,2080419,Deinococcus sp. NW-56,Bacteria,Deinococcus-Thermus,Deinococci,373067,"Deinococcus sp. NW-56 plasmid unnamed2, complete sequence"
NZ_CP026517.1,2080419,Deinococcus sp. NW-56,Bacteria,Deinococcus-Thermus,Deinococci,375354,"Deinococcus sp. NW-56 plasmid unnamed1, complete sequence"
NZ_CP026476.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,51479,"Escherichia coli strain KBN10P04869 plasmid pKBN10P04869C, complete sequence"
NZ_CP026475.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,104701,"Escherichia coli strain KBN10P04869 plasmid pKBN10P04869B, complete sequence"
NZ_CP026474.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,107229,"Escherichia coli strain KBN10P04869 plasmid pKBN10P04869A, complete sequence"
NZ_CP026494.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,201203,"Escherichia coli strain HS13-1 plasmid pHS13-1-IncF, complete sequence"
NZ_CP026493.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,1552,"Escherichia coli strain HS13-1 plasmid pHS13-1-Col, complete sequence"
NZ_CP026492.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,264344,"Escherichia coli strain HS13-1 plasmid pHS13-1-IncHI2, complete sequence"
NZ_CP026382.1,1866325,Sphingopyxis sp. MG,Bacteria,Proteobacteria,Alphaproteobacteria,67707,"Sphingopyxis sp. MG plasmid pCMS1, complete sequence"
NZ_CP019456.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,159821,"Escherichia coli strain FHI_NMBU_03 plasmid pFHI_NMBU_03_1, complete sequence"
NZ_CP018884.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,121863,"Klebsiella pneumoniae subsp. pneumoniae strain BR7 plasmid unnamed1, complete sequence"
NZ_CP018887.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,123208,"Klebsiella pneumoniae subsp. pneumoniae strain BR21 plasmid pIncN, complete sequence"
NZ_CP018886.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,217456,"Klebsiella pneumoniae subsp. pneumoniae strain BR21 plasmid pIncF, complete sequence"
NZ_CP026849.1,165096,Weissella koreensis,Bacteria,Firmicutes,Bacilli,9934,"Weissella koreensis strain WiKim0080 plasmid pWKW_2, complete sequence"
NZ_CP026848.1,165096,Weissella koreensis,Bacteria,Firmicutes,Bacilli,31842,"Weissella koreensis strain WiKim0080 plasmid pWKW_1, complete sequence"
NZ_CP026696.1,1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Bacteria,Cyanobacteria,,34881,"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont' strain 5183 plasmid pNLP4, complete sequence"
NZ_CP026695.1,1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Bacteria,Cyanobacteria,,58727,"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont' strain 5183 plasmid pNLP3, complete sequence"
NZ_CP026694.1,1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Bacteria,Cyanobacteria,,63064,"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont' strain 5183 plasmid pNLP2, complete sequence"
NZ_CP026693.1,1618022,Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont',Bacteria,Cyanobacteria,,121770,"Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont' strain 5183 plasmid pNLP1, complete sequence"
NZ_CP026745.1,135487,Nocardia cyriacigeorgica,Bacteria,Actinobacteria,Actinobacteria,142547,"Nocardia cyriacigeorgica strain MDA3349 isolate MDA3349 ancestor plasmid p_unnamed, complete sequence"
NZ_CP025510.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,217776,"Rhizobium leguminosarum bv. viciae strain UPM791 plasmid pRlvD, complete sequence"
NZ_CP025508.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,597290,"Rhizobium leguminosarum bv. viciae strain UPM791 plasmid pRlvB, complete sequence"
NZ_CP025507.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,1291920,"Rhizobium leguminosarum bv. viciae strain UPM791 plasmid pRlvA, complete sequence"
NZ_CP025506.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,564641,"Rhizobium leguminosarum bv. viciae strain UPM791 plasmid pRlvE, complete sequence"
NZ_CP025505.1,384,Rhizobium leguminosarum,Bacteria,Proteobacteria,Alphaproteobacteria,405209,"Rhizobium leguminosarum bv. viciae strain UPM791 plasmid pRlvC, complete sequence"
NZ_CP026753.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,70730,"Klebsiella pneumoniae strain AR_0066 plasmid tig00000084_pilon, complete sequence"
NZ_CP026752.1,573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,211813,"Klebsiella pneumoniae strain AR_0066 plasmid tig00000080_pilon, complete sequence"
NZ_CP026754.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,90045,"Escherichia coli strain AR_0077 plasmid tig00000042_pilon, complete sequence"
NZ_CP026710.1,545,Citrobacter koseri,Bacteria,Proteobacteria,Gammaproteobacteria,9294,"Citrobacter koseri strain AR_0024 plasmid unitig_1_pilon, complete sequence"
NZ_CP026712.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,72990,"Acinetobacter baumannii strain AR_0063 plasmid unitig_2_pilon, complete sequence"
NZ_CP026718.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,91175,"Klebsiella oxytoca strain AR_0028 plasmid unitig_3_pilon, complete sequence"
NZ_CP026717.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,80970,"Klebsiella oxytoca strain AR_0028 plasmid unitig_2_pilon, complete sequence"
NZ_CP026716.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,189585,"Klebsiella oxytoca strain AR_0028 plasmid unitig_1_pilon, complete sequence"
NZ_CP026703.1,615,Serratia marcescens,Bacteria,Proteobacteria,Gammaproteobacteria,22569,"Serratia marcescens strain AR_0027 plasmid unitig_1_pilon, complete sequence"
NZ_CP026708.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,8731,"Acinetobacter baumannii strain AR_0056 plasmid tig00000534_pilon, complete sequence"
NZ_CP026706.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,72105,"Acinetobacter baumannii strain AR_0056 plasmid tig00000059_pilon, complete sequence"
NZ_CP026705.1,470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,113706,"Acinetobacter baumannii strain AR_0056 plasmid tig00000058_pilon, complete sequence"
NZ_CP026701.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,93832,"Salmonella enterica subsp. enterica serovar Typhimurium strain AR_0031 plasmid unitig_1_pilon, complete sequence"
NZ_CP026699.1,545,Citrobacter koseri,Bacteria,Proteobacteria,Gammaproteobacteria,42930,"Citrobacter koseri strain AR_0025 plasmid unitig_3_pilon, complete sequence"
NZ_CP026698.1,545,Citrobacter koseri,Bacteria,Proteobacteria,Gammaproteobacteria,82058,"Citrobacter koseri strain AR_0025 plasmid unitig_2_pilon, complete sequence"
NZ_CP027026.1,2094021,Streptomyces sp. WAC00288,Bacteria,Actinobacteria,Actinobacteria,26915,"Streptomyces sp. WAC00288 plasmid p4, complete sequence"
NZ_CP027025.1,2094021,Streptomyces sp. WAC00288,Bacteria,Actinobacteria,Actinobacteria,62599,"Streptomyces sp. WAC00288 plasmid p3, complete sequence"
NZ_CP027024.1,2094021,Streptomyces sp. WAC00288,Bacteria,Actinobacteria,Actinobacteria,109458,"Streptomyces sp. WAC00288 plasmid p2, complete sequence"
NZ_CP027023.1,2094021,Streptomyces sp. WAC00288,Bacteria,Actinobacteria,Actinobacteria,186110,"Streptomyces sp. WAC00288 plasmid p1, complete sequence"
NZ_CP026728.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,33288,"Escherichia coli strain 266917_2 plasmid p266917_2_05, complete sequence"
NZ_CP026727.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,51479,"Escherichia coli strain 266917_2 plasmid p266917_2_04, complete sequence"
NZ_CP026726.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,83010,"Escherichia coli strain 266917_2 plasmid p266917_2_03, complete sequence"
NZ_CP026725.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,97124,"Escherichia coli strain 266917_2 plasmid p266917_2_02, complete sequence"
NZ_CP026724.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,129627,"Escherichia coli strain 266917_2 plasmid p266917_2_01, complete sequence"
NZ_CP026570.1,28901,Salmonella enterica,Bacteria,Proteobacteria,Gammaproteobacteria,96994,"Salmonella enterica strain MFDS1004839 plasmid pSE1004839, complete sequence"
NZ_CP024310.1,380,Sinorhizobium fredii,Bacteria,Proteobacteria,Alphaproteobacteria,1702817,"Sinorhizobium fredii strain NXT3 plasmid pSfreNXT3c, complete sequence"
NZ_CP024309.1,380,Sinorhizobium fredii,Bacteria,Proteobacteria,Alphaproteobacteria,499999,"Sinorhizobium fredii strain NXT3 plasmid pSfreNXT3b, complete sequence"
NZ_CP024308.1,380,Sinorhizobium fredii,Bacteria,Proteobacteria,Alphaproteobacteria,387881,"Sinorhizobium fredii strain NXT3 plasmid pSfreNXT3a, complete sequence"
NZ_CP024314.1,2048897,Rhizobium sp. NXC24,Bacteria,Proteobacteria,Alphaproteobacteria,2379650,"Rhizobium sp. NXC24 plasmid pRspNXC24c, complete sequence"
NZ_CP024313.1,2048897,Rhizobium sp. NXC24,Bacteria,Proteobacteria,Alphaproteobacteria,489086,"Rhizobium sp. NXC24 plasmid pRspNXC24b, complete sequence"
NZ_CP024312.1,2048897,Rhizobium sp. NXC24,Bacteria,Proteobacteria,Alphaproteobacteria,271356,"Rhizobium sp. NXC24 plasmid pRspNXC24a, complete sequence"
NZ_CP026567.1,46257,Pseudomonas avellanae,Bacteria,Proteobacteria,Gammaproteobacteria,20491,"Pseudomonas avellanae strain R2leaf plasmid p5_tig9, complete sequence"
NZ_CP026566.1,46257,Pseudomonas avellanae,Bacteria,Proteobacteria,Gammaproteobacteria,42783,"Pseudomonas avellanae strain R2leaf plasmid p4_tig8, complete sequence"
NZ_CP026565.1,46257,Pseudomonas avellanae,Bacteria,Proteobacteria,Gammaproteobacteria,69519,"Pseudomonas avellanae strain R2leaf plasmid p3_tig6, complete sequence"
NZ_CP026564.1,46257,Pseudomonas avellanae,Bacteria,Proteobacteria,Gammaproteobacteria,102862,"Pseudomonas avellanae strain R2leaf plasmid p2_tig5, complete sequence"
NZ_CP026563.1,46257,Pseudomonas avellanae,Bacteria,Proteobacteria,Gammaproteobacteria,97840,"Pseudomonas avellanae strain R2leaf plasmid p1_tig4, complete sequence"
NZ_CP026561.1,47877,Pseudomonas amygdali,Bacteria,Proteobacteria,Gammaproteobacteria,40810,"Pseudomonas amygdali pv. morsprunorum strain R15244 plasmid p4_tig6, complete sequence"
NZ_CP026560.1,47877,Pseudomonas amygdali,Bacteria,Proteobacteria,Gammaproteobacteria,45535,"Pseudomonas amygdali pv. morsprunorum strain R15244 plasmid p3_tig5, complete sequence"
NZ_CP026559.1,47877,Pseudomonas amygdali,Bacteria,Proteobacteria,Gammaproteobacteria,168854,"Pseudomonas amygdali pv. morsprunorum strain R15244 plasmid p2_tig3, complete sequence"
NZ_CP026557.1,47877,Pseudomonas amygdali,Bacteria,Proteobacteria,Gammaproteobacteria,81536,"Pseudomonas amygdali pv. morsprunorum strain R15244 plasmid p1_tig4, complete sequence"
NZ_CP025418.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,9813,"Lactobacillus plantarum strain X7021 plasmid unnamed6, complete sequence"
NZ_CP025417.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,67589,"Lactobacillus plantarum strain X7021 plasmid unnamed5, complete sequence"
NZ_CP025416.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,64288,"Lactobacillus plantarum strain X7021 plasmid unnamed4, complete sequence"
NZ_CP025415.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,39936,"Lactobacillus plantarum strain X7021 plasmid unnamed3, complete sequence"
NZ_CP025414.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,3991,Lactobacillus plantarum strain X7021 plasmid unnamed2
NZ_CP025413.1,1590,Lactobacillus plantarum,Bacteria,Firmicutes,Bacilli,30838,"Lactobacillus plantarum strain X7021 plasmid unnamed1, complete sequence"
NZ_CP026928.1,358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,187640,"Agrobacterium tumefaciens strain 1D1609 plasmid pAt1D1609b, complete sequence"
NZ_CP026927.1,358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,243381,"Agrobacterium tumefaciens strain 1D1609 plasmid pAt1D1609a, complete sequence"
NZ_CP026926.1,358,Agrobacterium tumefaciens,Bacteria,Proteobacteria,Alphaproteobacteria,166117,"Agrobacterium tumefaciens strain 1D1609 plasmid pTi1D1609, complete sequence"
NZ_CP026547.1,119219,Cupriavidus metallidurans,Bacteria,Proteobacteria,Betaproteobacteria,180778,Cupriavidus metallidurans strain Ni-2 plasmid unnamed3
NZ_CP026546.1,119219,Cupriavidus metallidurans,Bacteria,Proteobacteria,Betaproteobacteria,197700,Cupriavidus metallidurans strain Ni-2 plasmid unnamed2
NZ_CP026545.1,119219,Cupriavidus metallidurans,Bacteria,Proteobacteria,Betaproteobacteria,30753,Cupriavidus metallidurans strain Ni-2 plasmid unnamed1
NZ_CP026221.1,1636609,Aeromonas sp. ASNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,171236,"Aeromonas sp. ASNIH4 plasmid pAER-f909, complete sequence"
NZ_CP026220.1,1636609,Aeromonas sp. ASNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,29846,"Aeromonas sp. ASNIH4 plasmid pAER-a82d, complete sequence"
NZ_CP026219.1,1636609,Aeromonas sp. ASNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,35298,"Aeromonas sp. ASNIH4 plasmid pKPC-ac48, complete sequence"
NZ_CP026218.1,1636609,Aeromonas sp. ASNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,27298,"Aeromonas sp. ASNIH4 plasmid pAER-1351, complete sequence"
NZ_CP026405.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,186884,"Escherichia coli strain ECONIH4 plasmid pECO-c85f, complete sequence"
NZ_CP026404.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,127217,"Escherichia coli strain ECONIH4 plasmid pECO-6357, complete sequence"
NZ_CP026403.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,103161,"Escherichia coli strain ECONIH4 plasmid pECO-816c, complete sequence"
NZ_CP026402.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,13542,"Escherichia coli strain ECONIH4 plasmid pECO-e618, complete sequence"
NZ_CP026401.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,20245,"Escherichia coli strain ECONIH4 plasmid pKPC-b33e, complete sequence"
NZ_CP026400.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,60248,"Escherichia coli strain ECONIH4 plasmid pECO-5e72, complete sequence"
NZ_CP026385.1,1758196,Serratia sp. SSNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,82860,"Serratia sp. SSNIH1 plasmid pKPC-56ce, complete sequence"
NZ_CP026384.1,1758196,Serratia sp. SSNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,36870,"Serratia sp. SSNIH1 plasmid pSER-840e, complete sequence"
NZ_CP026391.1,1920116,Leclercia sp. LSNIH3,Bacteria,Proteobacteria,Gammaproteobacteria,330021,"Leclercia sp. LSNIH3 plasmid pLEC-7c0d, complete sequence"
NZ_CP026390.1,1920116,Leclercia sp. LSNIH3,Bacteria,Proteobacteria,Gammaproteobacteria,195394,"Leclercia sp. LSNIH3 plasmid pLEC-5e18, complete sequence"
NZ_CP026389.1,1920116,Leclercia sp. LSNIH3,Bacteria,Proteobacteria,Gammaproteobacteria,50333,"Leclercia sp. LSNIH3 plasmid pKPC-3714, complete sequence"
NZ_CP026388.1,1920116,Leclercia sp. LSNIH3,Bacteria,Proteobacteria,Gammaproteobacteria,32921,"Leclercia sp. LSNIH3 plasmid pLEC-2975, complete sequence"
NZ_CP026411.1,1636607,Aeromonas sp. ASNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,4613,"Aeromonas sp. ASNIH2 plasmid pAER-0ed9, complete sequence"
NZ_CP026410.1,1636607,Aeromonas sp. ASNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,6782,"Aeromonas sp. ASNIH2 plasmid pAER-e58e, complete sequence"
NZ_CP026409.1,1636607,Aeromonas sp. ASNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,8238,"Aeromonas sp. ASNIH2 plasmid pAER-c633, complete sequence"
NZ_CP026408.1,1636607,Aeromonas sp. ASNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,29979,"Aeromonas sp. ASNIH2 plasmid pAER-f133, complete sequence"
NZ_CP026407.1,1636607,Aeromonas sp. ASNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,13512,"Aeromonas sp. ASNIH2 plasmid pAER-ba17, complete sequence"
NZ_CP026230.1,1636606,Aeromonas sp. ASNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,77569,"Aeromonas sp. ASNIH1 plasmid pKPC-038c, complete sequence"
NZ_CP026229.1,1636606,Aeromonas sp. ASNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,17473,"Aeromonas sp. ASNIH1 plasmid pAER-cc3e, complete sequence"
NZ_CP026419.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,41447,"Acinetobacter sp. ACNIH2 plasmid pACI-6db8, complete sequence"
NZ_CP026418.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,43928,"Acinetobacter sp. ACNIH2 plasmid pKPC-8dee, complete sequence"
NZ_CP026417.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,12933,"Acinetobacter sp. ACNIH2 plasmid pACI-c6b4, complete sequence"
NZ_CP026416.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,127843,"Acinetobacter sp. ACNIH2 plasmid pACI-3569, complete sequence"
NZ_CP026415.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,118501,"Acinetobacter sp. ACNIH2 plasmid pACI-55cf, complete sequence"
NZ_CP026414.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,17598,"Acinetobacter sp. ACNIH2 plasmid pACI-235c, complete sequence"
NZ_CP026413.1,1758189,Acinetobacter sp. ACNIH2,Bacteria,Proteobacteria,Gammaproteobacteria,11959,"Acinetobacter sp. ACNIH2 plasmid pACI-35f6, complete sequence"
NZ_CP026234.1,2077148,Citrobacter freundii complex sp. CFNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,280328,"Citrobacter freundii complex sp. CFNIH4 plasmid pCFR-4109, complete sequence"
NZ_CP026233.1,2077148,Citrobacter freundii complex sp. CFNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,206795,"Citrobacter freundii complex sp. CFNIH4 plasmid pCFR-0b27, complete sequence"
NZ_CP026232.1,2077148,Citrobacter freundii complex sp. CFNIH4,Bacteria,Proteobacteria,Gammaproteobacteria,62590,"Citrobacter freundii complex sp. CFNIH4 plasmid pKPC-c9fd, complete sequence"
NZ_CP026427.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,8765,"Acinetobacter sp. ACNIH1 plasmid unnamed, complete sequence"
NZ_CP026426.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,257654,"Acinetobacter sp. ACNIH1 plasmid pACI-df08, complete sequence"
NZ_CP026425.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,39361,"Acinetobacter sp. ACNIH1 plasmid pNDM-9c17, complete sequence"
NZ_CP026424.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,18295,"Acinetobacter sp. ACNIH1 plasmid pACI-148e, complete sequence"
NZ_CP026423.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,40249,"Acinetobacter sp. ACNIH1 plasmid pACI-b25a, complete sequence"
NZ_CP026422.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,13080,"Acinetobacter sp. ACNIH1 plasmid pACI-a283, complete sequence"
NZ_CP026421.1,1636603,Acinetobacter sp. ACNIH1,Bacteria,Proteobacteria,Gammaproteobacteria,11503,"Acinetobacter sp. ACNIH1 plasmid pACI-3bd5, complete sequence"
NZ_CP025250.1,985002,Staphylococcus argenteus,Bacteria,Firmicutes,Bacilli,26757,"Staphylococcus argenteus strain XNO106 plasmid unnamed, complete sequence"
NZ_CP024977.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,62669,"Escherichia coli strain CV839-15 plasmid pCV839-15-p3, complete sequence"
NZ_CP024976.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,195578,"Escherichia coli strain CV839-15 plasmid pCV839-15-p2, complete sequence"
NZ_CP024975.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,86835,"Escherichia coli strain CV839-15 plasmid pCV839-15-p1, complete sequence"
NZ_CP025481.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,3459,"Staphylococcus aureus subsp. aureus strain 2148.N plasmid p2148.N, complete sequence"
NZ_CP016860.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,61505,"Staphylococcus aureus subsp. aureus strain 1969.N plasmid p1969.Nb, complete sequence"
NZ_CP025488.1,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,3266,"Staphylococcus aureus subsp. aureus strain 2148.C01 plasmid p2148.C01a, complete sequence"
NZ_CP021747.1,1737490,Agarilytica rhodophyticola,Bacteria,Proteobacteria,Gammaproteobacteria,31527,"Agarilytica rhodophyticola strain 017 plasmid pSU3, complete sequence"
NZ_CP021746.1,1737490,Agarilytica rhodophyticola,Bacteria,Proteobacteria,Gammaproteobacteria,71672,"Agarilytica rhodophyticola strain 017 plasmid pSU2, complete sequence"
NZ_CP021745.1,1737490,Agarilytica rhodophyticola,Bacteria,Proteobacteria,Gammaproteobacteria,131784,"Agarilytica rhodophyticola strain 017 plasmid pSU1, complete sequence"
NZ_CP025752.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,63821,"Escherichia coli strain CV839-06 plasmid pCV839-06-p2, complete sequence"
NZ_CP025751.1,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,110160,"Escherichia coli strain CV839-06 plasmid pCV839-06-p1, complete sequence"
NZ_CP026284.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,132994,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-5873, complete sequence"
NZ_CP026283.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,125961,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-e6bf, complete sequence"
NZ_CP026282.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,262864,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-e3cb, complete sequence"
NZ_CP026281.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,198115,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-01e8, complete sequence"
NZ_CP026280.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,152041,"Klebsiella oxytoca strain KONIH2 plasmid pKPC-55bf, complete sequence"
NZ_CP026279.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,62185,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-b08d, complete sequence"
NZ_CP026278.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,48636,"Klebsiella oxytoca strain KONIH2 plasmid pKOR-0e8e, complete sequence"
NZ_CP026277.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,56561,"Klebsiella oxytoca strain KONIH5 plasmid pKPC-8bc0, complete sequence"
NZ_CP026276.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,282476,"Klebsiella oxytoca strain KONIH5 plasmid pKOR-ab4d, complete sequence"
NZ_CP026274.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,235655,"Klebsiella oxytoca strain KONIH4 plasmid pKPC-4b66, complete sequence"
NZ_CP026273.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,179680,"Klebsiella oxytoca strain KONIH4 plasmid pKOX-ea2b, complete sequence"
NZ_CP026272.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,144055,"Klebsiella oxytoca strain KONIH4 plasmid pKPC-f607, complete sequence"
NZ_CP026271.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,73495,"Klebsiella oxytoca strain KONIH4 plasmid pKOX-4655, complete sequence"
NZ_CP026270.1,571,Klebsiella oxytoca,Bacteria,Proteobacteria,Gammaproteobacteria,52919,"Klebsiella oxytoca strain KONIH4 plasmid unnamed, complete sequence"
